Subaccount Name,Morningstar Category,Total Net Assets ($mil),YTD Return%,US Stocks,Non US Stocks,Bonds,Cash,Other,Cyclical,Sensitive,Defensive,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Communication Services,Energy,Industrials,Technology,Consumer Defensive,Healthcare,Utilities,Giant,Large,Medium,Small,Micro
JNL_Aggressive_Growth_Allocation,Aggressive Allocation,1378.83,0.0664,0.5477,0.3031,0.1117,0.0323,0.0051,0.3312,0.3992,0.2696,0.0441,0.0992,0.1531,0.0348,0.0519,0.0507,0.138,0.1586,0.0732,0.1505,0.0459,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Balanced,Moderate Allocation,2571.91,0.0304,0.5818,0.096,0.2145,0.05,0.0578,0.3025,0.3784,0.3191,0.0486,0.0991,0.1407,0.0141,0.0666,0.0608,0.1222,0.1288,0.1128,0.1968,0.0095,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Bond_Fund_of_America,Intermediate Core Bond,253.81,0.0285,0.0,0.0,0.912,0.087,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Capital_Income_Builder,Global Allocation,362.94,0.0342,0.4318,0.316,0.1747,0.0512,0.0262,0.3399,0.3111,0.3489,0.0384,0.0396,0.1831,0.0788,0.0384,0.0803,0.1024,0.09,0.1339,0.1267,0.0883,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Capital_World_Bond,Global Bond,356.68,0.0268,0.0,0.0001,0.8794,0.0875,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Global_Growth,Global Large-Stock Growth,786.85,0.1107,0.4618,0.4998,0.0,0.0385,0.0,0.2711,0.3926,0.3363,0.0351,0.1364,0.0978,0.0018,0.0335,0.0504,0.0742,0.2345,0.0949,0.2403,0.0011,0.4999,0.3336,0.11789999999999999,0.0101,0.0
JNL_American_Funds_Global_Small_Capitalization,Global Small/Mid Stock,646.2,0.0659,0.3888,0.5681,0.0,0.0279,0.0152,0.356,0.4387,0.2052,0.0461,0.1875,0.0959,0.0265,0.0303,0.0108,0.1991,0.1985,0.0205,0.168,0.0167,0.0,0.1244,0.46619999999999995,0.31489999999999996,0.0481
JNL_American_Funds_Growth,Large Growth,3870.96,0.1198,0.8394,0.1209,0.0005,0.0359,0.0032,0.2615,0.5077,0.2308,0.0257,0.1575,0.0772,0.0011,0.1365,0.0617,0.1052,0.2043,0.0438,0.1788,0.0082,0.3703,0.2961,0.24239999999999998,0.048600000000000004,0.0029
JNL_American_Funds_Growth_Allocation,Moderately Aggressive Allocation,3418.61,0.0684,0.4389,0.311,0.1905,0.0562,0.0034,0.3042,0.4126,0.2831,0.0493,0.1109,0.1305,0.0135,0.0559,0.062,0.1296,0.1651,0.0812,0.176,0.0259,0.0,0.0,0.0,0.0,0.0
JNL_American_Funds_Growth_Income,Large Blend,8895.36,0.0728,0.7987,0.117,0.0002,0.0767,0.0074,0.253,0.4849,0.262,0.0336,0.077,0.1223,0.0201,0.0821,0.0522,0.1636,0.187,0.0717,0.1452,0.0451,0.35600000000000004,0.3432,0.1812,0.032,0.0023
