date,BSV,BWX,BWZ,KBWB,VB,SCHA,IXN,QQQ,OEF,XLG,OIH,ONEQ,DVY,FRI,RWR,USRT,DIA,XLV,XLI,VIS,VAW,XLB,VONG,IWD,SCHV,VONV,IMCB,IWR,VO,IJS,IJK,MDYG,IJJ,IVOV,IYE,XLE,VDE,XLF,VFH,IYH,SLYV,VIOV,SMH,SOXX,XHB,XME,MDYV,ACWI,IJR,FLOT,FLRN,FLTR,FYX,SLY,VIOO,IJT,SLYG,VIOG,IYY,IWV,SPLG,SCHX,IWS,ILCB,ITOT,IVV,IWB,IWL,BAB,BIL,BIV,BKLN,BLV,BND,IUSV,IVE,SPYV,VOOV,AGG,AGZ,ANGL,SPY,VTI,VV,IWM,VTWO,IWN,ILTB,VTWV,SCHB,VONE,VOO,PSCD,PSCT,EDV,ELD,EMB,EMLC,HYG,HYMB,HYS,HYXU,GBF,GHYG,IDU,VPU,XLU,BOND,IYW,XLK,VGT,ISHG,ISTB,ITM,IVOO,IJH,MDY,SPMD,GNMA,GOVT,GSY,GVI,IEF,IEI,IGIB,IGLB,IGOV,IGSB,HYD,JNK,LEMB,LQD,MBB,CEMB,CMBS,CMF,CORP,EBND,IBND,PZA,TDTF,TDTT,TFI,TIP,TLH,PZT,QLTA,RAVI,SCHO,TLT,USIG,VCIT,VCLT,VCSH,VGIT,VGLT,VGSH,VMBS,SCHP,SCHR,SCHZ,SHM,SHV,MINT,MLN,MUB,MUNI,SPTI,SPTL,SPTS,STIP,STPZ,SUB,SHY,SJNK,SMB,ILCG,VUG,IWP,VOT,IWF,MGK,SCHG,NYF,PCY,PHB,PICB,PLW,PSK,PWZ,TOK,URTH,VT,IXC,VDC,VTIP,ZROZ,SPAB,SPBO,SPHY,SPIB,SPIP,SPLB,SPMB,SPSB
2013-12-31,0.0016,-0.0358,-0.0219,0.3735,0.3771,0.395,0.2516,0.3663,0.3006,0.2886,0.2587,0.3986,0.2886,0.0184,0.0093,-0.0098,0.2964,0.4141,0.4055,0.4192,0.2494,0.2599,0.3323,0.3209,0.3102,0.327,0.3293,0.3453,0.3505,0.3935,0.3257,0.3251,0.3403,0.344,0.2571,0.2625,0.2583,0.3553,0.3284,0.4125,0.4065,0.3952,0.3333,0.4158,0.2559,-0.0538,0.3416,0.2238,0.4133,0.0073,0.0076,0.015,0.4319,0.4109,0.413,0.4226,0.4264,0.4286,0.3265,0.3301,0.3317,0.3242,0.3324,0.3419,0.3273,0.3231,0.3278,0.3185,-0.0519,-0.0009,-0.0359,0.0407,-0.0895,-0.0211,0.3218,0.3162,0.3176,0.3188,-0.0198,-0.0127,0.0725,0.3231,0.3345,0.3268,0.387,0.3876,0.3435,-0.099,0.3491,0.3319,0.3302,0.3239,0.4959,0.4545,-0.198,-0.1076,-0.0779,-0.0994,0.0575,-0.0752,0.0772,0.1275,-0.0198,0.0791,0.1478,0.149,0.1306,-0.0126,0.2657,0.2624,0.3097,-0.0257,0.0062,-0.0453,0.3361,0.3347,0.3306,0.3858,-0.0244,-0.0253,0.014,-0.0094,-0.0609,-0.0184,-0.0042,-0.0787,-0.0137,0.0116,-0.0873,0.0586,-0.0673,-0.02,-0.0195,-0.0495,0.0062,-0.0272,-0.0166,-0.0577,0.0486,-0.0714,-0.0528,-0.0216,-0.0389,-0.0849,-0.0827,-0.0692,-0.0271,0.0094,0.0041,-0.1338,-0.0221,-0.0195,-0.0518,0.0138,-0.0269,-0.1245,0.0032,-0.0127,-0.089,-0.027,-0.02,0.009,-0.0,0.0072,-0.0911,-0.0344,-0.0262,-0.0122,-0.1226,-0.0037,-0.0175,-0.0206,0.0084,0.0021,0.0655,0.0081,0.3174,0.3248,0.3552,0.3242,0.3314,0.3259,0.3404,-0.0356,-0.1025,0.0441,0.0248,-0.0793,-0.0574,-0.0468,0.2671,0.2666,0.2294,0.1607,0.2803,-0.0153,-0.2092,-0.0213,-0.0149,-0.0134,-0.0057,-0.0944,-0.0543,-0.0182,0.0131
2014-12-31,0.0137,-0.0253,-0.0976,0.0924,0.0763,0.0655,0.1526,0.1918,0.1256,0.1138,-0.2355,0.1466,0.1486,0.2977,0.3183,0.2912,0.0982,0.2514,0.1036,0.0852,0.059,0.0718,0.1293,0.1317,0.1095,0.1319,0.1563,0.1305,0.1376,0.0756,0.0731,0.0763,0.1185,0.1212,-0.0965,-0.0868,-0.0991,0.1505,0.141,0.2515,0.0677,0.0743,0.3022,0.2985,0.0305,-0.2527,0.1233,0.0383,0.0585,0.0008,-0.0009,0.0071,0.0129,0.055,0.054,0.0401,0.039,0.0376,0.1288,0.124,0.1369,0.1333,0.1439,0.1682,0.1297,0.1357,0.1309,0.1438,0.1701,-0.0007,0.0727,0.0055,0.2027,0.0582,0.1275,0.1217,0.1217,0.121,0.06,0.0368,0.0272,0.1346,0.1255,0.1338,0.0504,0.0502,0.0414,0.2029,0.0419,0.1268,0.1329,0.1356,0.0404,0.1293,0.4463,-0.0593,0.0605,-0.0506,0.019,0.1834,-0.0012,-0.0873,0.0632,-0.0238,0.2735,0.27,0.2875,0.0662,0.1946,0.1784,0.1803,-0.1008,0.0115,0.1028,0.0951,0.0971,0.094,0.0816,0.0593,0.0473,0.0079,0.0288,0.0907,0.0317,0.0386,0.1669,-0.0222,0.0067,0.1487,0.0077,-0.0293,0.0821,0.0638,0.0409,0.0244,0.1137,0.0776,-0.0428,-0.0474,0.153,-0.0052,-0.0172,0.0977,0.0359,0.1429,0.1563,0.0646,0.0062,0.0053,0.273,0.0816,0.0766,0.164,0.0183,0.0457,0.2519,0.0046,0.0589,0.041,0.0444,0.0627,0.0093,0.0,0.0054,0.1769,0.0935,0.0571,0.0248,0.2532,0.0118,-0.0122,-0.0139,0.0047,0.0045,-0.0129,0.0098,0.1454,0.1361,0.1169,0.1348,0.1278,0.1361,0.158,0.0986,0.0916,0.0235,-0.0116,0.1501,0.1758,0.1564,0.0552,0.0437,0.0368,-0.1166,0.1601,-0.0141,0.4875,0.0598,0.0823,0.0741,0.0444,0.0457,0.1639,0.0599,0.0088
2015-12-31,0.0092,-0.0669,-0.0773,-0.0013,-0.0376,-0.0417,0.0394,0.0944,0.024,0.0422,-0.2455,0.0703,-0.0208,0.0188,0.0411,0.0387,0.0009,0.0683,-0.0433,-0.0351,-0.102,-0.0869,0.0557,-0.0397,-0.0114,-0.0381,-0.0156,-0.0262,-0.0135,-0.0691,0.019,0.0183,-0.0672,-0.0698,-0.2218,-0.215,-0.2322,-0.0177,-0.0056,0.0617,-0.0655,-0.0623,-0.0034,-0.0202,0.0065,-0.5053,-0.0713,-0.0221,-0.0208,0.0033,0.0044,-0.004,-0.091,-0.0185,-0.0216,0.0269,0.0238,0.0296,0.0039,0.0033,0.0115,0.0104,-0.0498,-0.0125,0.009,0.0128,0.0078,0.0173,-0.0025,-0.0013,0.0103,-0.0306,-0.04,0.0056,-0.0433,-0.033,-0.0318,-0.0316,0.0048,0.0134,-0.0141,0.0123,0.0036,0.01,-0.0448,-0.0444,-0.0773,-0.0422,-0.0754,0.004,0.0067,0.0133,-0.0855,0.0433,-0.0485,-0.1337,0.0103,-0.1507,-0.0502,0.0354,-0.0461,-0.0984,-0.0047,-0.0625,-0.0484,-0.0481,-0.0493,0.0122,0.0368,0.0547,0.0505,-0.0771,0.0064,0.0364,-0.0231,-0.0234,-0.0251,-0.0424,0.0048,0.0088,0.0105,0.0079,0.0151,0.0164,0.0058,-0.0551,-0.0724,0.0063,0.0507,-0.0677,-0.1212,-0.0126,0.0114,-0.0176,0.0124,0.0295,-0.0087,-0.1348,-0.1038,0.0394,-0.0033,-0.0045,0.0339,-0.0175,0.014,0.0289,0.0048,0.0034,0.004,-0.0179,-0.0151,0.0092,-0.0477,0.0126,0.0161,-0.0142,0.0051,0.0145,-0.0178,0.0156,0.0042,0.0121,0.0,0.0043,0.0385,0.0291,0.0279,0.0159,-0.0165,0.009,-0.001,-0.0029,0.008,0.0043,-0.0628,0.0109,0.0736,0.0324,-0.0046,-0.0107,0.0549,0.0364,0.0324,0.0308,0.0228,-0.0304,-0.0929,0.0016,0.0775,0.0372,-0.016,-0.0064,-0.0186,-0.2205,0.0583,0.0023,-0.0613,0.0035,-0.0151,-0.0357,0.0044,-0.0228,-0.05,0.0174,0.0086
2016-12-31,0.0133,0.0064,-0.0148,0.2813,0.1843,0.1998,0.1392,0.071,0.1129,0.1127,0.2783,0.0881,0.2164,0.0788,0.0643,0.0718,0.1637,-0.0276,0.2,0.2037,0.215,0.168,0.0703,0.1726,0.1653,0.1708,0.1198,0.1368,0.1125,0.3123,0.1457,0.1444,0.2617,0.2632,0.2555,0.2803,0.2917,0.2259,0.2486,-0.0269,0.3117,0.3005,0.3554,0.3834,-0.003,1.0603,0.2613,0.084,0.266,0.0156,0.0172,0.0253,0.2308,0.2658,0.2676,0.2205,0.2216,0.2138,0.1198,0.1263,0.1182,0.1189,0.1978,0.1375,0.126,0.1215,0.1203,0.1064,0.0453,0.0011,0.0297,0.0923,0.0682,0.0252,0.1846,0.173,0.1707,0.1724,0.0241,0.0103,0.257,0.12,0.1282,0.1178,0.2159,0.2136,0.3197,0.0781,0.3158,0.1267,0.1178,0.1217,0.1516,0.3347,0.016,0.0948,0.0927,0.0901,0.1341,0.0206,0.1497,0.051,0.0235,0.1388,0.1646,0.1758,0.1608,0.0276,0.1372,0.1501,0.1377,-0.0212,0.0265,-0.0111,0.2037,0.2072,0.2046,0.1824,0.01,0.0084,0.0184,0.0197,0.01,0.0122,0.0332,0.0988,0.0086,0.0179,0.0039,0.1443,0.0629,0.062,0.0127,0.1229,0.0308,-0.0015,0.0636,0.0814,0.0027,0.0081,0.0442,0.0318,-0.0044,0.0468,0.0084,0.0164,0.0427,0.0145,0.0078,0.0117,0.0556,0.0526,0.1077,0.026,0.0084,0.0121,0.011,0.0126,0.0464,0.0095,0.0221,-0.0061,0.0041,0.0209,0.0016,-0.0017,-0.0066,0.0032,0.0092,0.0078,0.0273,0.0289,-0.0009,0.0082,0.1422,-0.0051,0.0158,0.0627,0.0722,0.0686,0.0701,0.0655,0.0682,-0.004,0.0892,0.1298,-0.0084,0.0064,-0.0069,0.0061,0.0781,0.0731,0.085,0.279,0.0629,0.0245,0.0207,0.0237,0.0496,0.1223,0.0416,0.0476,0.1072,0.0089,0.0209
2017-12-31,0.012,0.0993,0.1018,0.1811,0.1626,0.1494,0.4123,0.3266,0.2182,0.2304,-0.1966,0.2928,0.1482,0.0386,0.0347,0.0527,0.2808,0.2177,0.2398,0.2147,0.2376,0.2401,0.3005,0.1345,0.1656,0.1359,0.1968,0.1825,0.1928,0.1135,0.1964,0.196,0.1204,0.1222,-0.018,-0.0089,-0.025,0.22,0.1999,0.2227,0.1169,0.1154,0.3848,0.3979,0.318,0.2117,0.1231,0.2433,0.1315,0.0165,0.0181,0.028,0.1434,0.1307,0.1316,0.1447,0.146,0.147,0.2133,0.2097,0.213,0.2195,0.1314,0.2209,0.2137,0.2175,0.2152,0.229,0.0987,0.0069,0.0365,0.0213,0.1074,0.0357,0.1509,0.1524,0.154,0.1526,0.0355,0.0201,0.097,0.2171,0.2121,0.22,0.1458,0.1469,0.0769,0.1124,0.0806,0.212,0.2155,0.2177,0.1816,0.0996,0.1394,0.1272,0.1028,0.1384,0.0607,0.0322,0.0575,0.1968,0.041,0.0897,0.1194,0.1244,0.1205,0.0476,0.366,0.3426,0.3708,0.1091,0.0172,0.0613,0.1638,0.1626,0.1593,0.1512,0.0174,0.0219,0.0186,0.0183,0.0255,0.0122,0.035,0.1215,0.1138,0.0127,0.0978,0.0649,0.1249,0.0706,0.0249,0.0711,0.0295,0.0463,0.0656,0.1393,0.1484,0.0695,0.0193,0.0043,0.055,0.0292,0.0421,0.0621,0.0569,0.0122,0.0033,0.0918,0.0575,0.0531,0.117,0.0217,0.017,0.0864,0.0003,0.0247,0.0302,0.0159,0.035,0.0099,0.0067,0.0186,0.0819,0.0472,0.0486,0.0104,0.0901,0.0061,0.0074,0.0051,0.0075,0.0026,0.0527,0.0116,0.3057,0.2772,0.2493,0.218,0.2995,0.2949,0.2805,0.0502,0.0971,0.0512,0.1443,0.0495,0.1052,0.0682,0.2209,0.2295,0.245,0.0554,0.1185,0.0082,0.1477,0.0371,0.0547,0.0735,0.0376,0.0316,0.1226,0.0213,0.0158
2018-12-31,0.0134,-0.0185,-0.0336,-0.183,-0.0934,-0.1176,-0.0544,-0.0013,-0.0416,-0.0359,-0.4503,-0.0318,-0.0636,-0.0428,-0.0447,-0.0467,-0.0374,0.0628,-0.1325,-0.1401,-0.1749,-0.1488,-0.0153,-0.0845,-0.073,-0.0845,-0.1153,-0.091,-0.0924,-0.1286,-0.1053,-0.1046,-0.1206,-0.1213,-0.1937,-0.1822,-0.1995,-0.1306,-0.1352,0.058,-0.1277,-0.1285,-0.0905,-0.0649,-0.2572,-0.2678,-0.1195,-0.0912,-0.0851,0.0148,0.0139,0.003,-0.1064,-0.0856,-0.0865,-0.044,-0.042,-0.0457,-0.0516,-0.0543,-0.0478,-0.0453,-0.1243,-0.0851,-0.0533,-0.0449,-0.049,-0.033,0.0093,0.0174,-0.0019,-0.0132,-0.0417,-0.0012,-0.0921,-0.0922,-0.0902,-0.0909,0.0009,0.0132,-0.0584,-0.0457,-0.0523,-0.0446,-0.1112,-0.1115,-0.1301,-0.051,-0.1334,-0.053,-0.0484,-0.045,-0.0928,-0.0934,-0.034,-0.0753,-0.0547,-0.0757,-0.0202,0.0491,-0.0072,-0.0771,-0.0052,-0.0379,0.0393,0.0438,0.0394,0.0037,-0.0093,-0.0168,0.0246,-0.0354,0.0102,0.0096,-0.1133,-0.1119,-0.1129,-0.1034,0.0085,0.0025,0.0218,0.0077,0.0099,0.0136,-0.0071,-0.069,-0.026,0.0125,0.0219,-0.0328,-0.0749,-0.0379,0.0082,-0.0256,0.0077,0.0099,-0.0298,-0.0652,-0.0615,-0.0009,-0.0082,0.0025,0.0052,-0.0142,0.0037,-0.0055,-0.0227,0.0165,0.0156,-0.0161,-0.0221,-0.0174,-0.0704,0.0092,0.0136,-0.0154,0.0156,0.0091,-0.0142,0.0145,-0.0003,0.0156,0.0172,0.0172,-0.0077,0.0093,0.0103,0.0227,-0.0157,0.0106,0.0054,0.002,0.0185,0.0146,-0.0027,0.0186,0.0206,-0.0332,-0.0489,-0.0556,-0.0167,-0.0291,-0.0136,0.0066,-0.0616,-0.027,-0.0727,-0.0027,-0.0454,0.0032,-0.0783,-0.0856,-0.0976,-0.1485,-0.0779,0.0056,-0.0462,-0.0018,-0.0179,-0.0335,-0.0049,-0.0153,-0.0735,0.0101,0.0145
2019-12-31,0.0498,0.0558,0.0098,0.359,0.2733,0.265,0.4788,0.3896,0.3187,0.3204,-0.0345,0.3715,0.2262,0.2367,0.2271,0.2598,0.2503,0.2045,0.2908,0.3009,0.2353,0.2413,0.3606,0.2612,0.2592,0.2648,0.3149,0.3023,0.3098,0.2411,0.2596,0.261,0.2566,0.2591,0.1003,0.1174,0.0928,0.3188,0.3157,0.208,0.2426,0.2444,0.6445,0.6242,0.413,0.1469,0.2589,0.2659,0.2282,0.0397,0.0402,0.057,0.2132,0.2255,0.2268,0.2098,0.2097,0.2116,0.3078,0.3066,0.3199,0.3121,0.2673,0.3268,0.3067,0.3125,0.3106,0.3142,0.1085,0.0203,0.1034,0.1003,0.1899,0.0884,0.3147,0.3162,0.317,0.3175,0.0846,0.0551,0.1806,0.3122,0.3067,0.3125,0.2539,0.2581,0.2201,0.1961,0.2244,0.3079,0.3112,0.3137,0.1749,0.3938,0.1867,0.1289,0.1548,0.0979,0.1409,0.0951,0.1022,0.086,0.0947,0.1347,0.2421,0.2489,0.2593,0.0854,0.4664,0.4986,0.4862,-0.0065,0.0561,0.0833,0.2618,0.261,0.2578,0.2519,0.0585,0.0736,0.0339,0.0654,0.0803,0.057,0.146,0.2319,0.0376,0.0711,0.0934,0.1488,0.064,0.1737,0.0618,0.139,0.0794,0.0694,0.1479,0.104,0.0441,0.09,0.0799,0.0574,0.0742,0.0835,0.1011,0.0952,0.1254,0.0349,0.0346,0.1412,0.1399,0.141,0.2389,0.0702,0.0619,0.143,0.0352,0.0619,0.0852,0.0618,0.0864,0.0364,0.0236,0.0333,0.106,0.0706,0.0709,0.0601,0.1374,0.0356,0.0489,0.0483,0.0293,0.0338,0.0949,0.0451,0.3322,0.3703,0.3504,0.3376,0.3586,0.3738,0.3602,0.0649,0.1765,0.1359,0.094,0.0999,0.1759,0.0872,0.3005,0.2815,0.2681,0.1267,0.2611,0.0486,0.2122,0.0867,0.1468,0.1316,0.1022,0.0879,0.2349,0.0616,0.0521
2020-12-31,0.047,0.095,0.0648,-0.1046,0.1919,0.1934,0.4362,0.4862,0.2121,0.2415,-0.4119,0.4487,-0.0491,-0.079,-0.114,-0.0806,0.0959,0.133,0.1091,0.1234,0.1944,0.2046,0.383,0.0273,0.0264,0.0271,0.1335,0.1693,0.181,0.0263,0.2245,0.2257,0.0356,0.037,-0.3349,-0.3267,-0.3302,-0.0174,-0.0196,0.1556,0.0268,0.0281,0.5553,0.5272,0.2797,0.1595,0.0368,0.1634,0.1128,0.0087,0.0077,0.0144,0.1948,0.1144,0.1147,0.1922,0.1948,0.1968,0.201,0.2055,0.1849,0.2081,0.0483,0.194,0.2071,0.184,0.2077,0.221,0.0911,0.004,0.0967,0.0132,0.1579,0.0771,0.0156,0.0122,0.0138,0.0123,0.0748,0.0577,0.132,0.1833,0.2108,0.2104,0.2003,0.2022,0.0466,0.1609,0.0488,0.2076,0.2095,0.1832,0.2907,0.2779,0.2359,0.0179,0.0542,0.0308,0.0447,0.0374,0.0327,0.1069,0.0876,0.0668,-0.0107,-0.0074,0.0051,0.078,0.4745,0.4362,0.4604,0.0748,0.0475,0.0587,0.1361,0.136,0.135,0.1346,0.0351,0.0728,0.0188,0.0638,0.1001,0.0695,0.0964,0.133,0.1088,0.0537,0.0017,0.0495,0.031,0.1097,0.0408,0.0677,0.0786,0.045,0.0971,0.0449,0.115,0.0507,0.0997,0.0684,0.0595,0.1084,0.1377,0.0589,0.0962,0.0206,0.0311,0.1815,0.0944,0.0946,0.1327,0.0513,0.0771,0.1757,0.0304,0.0376,0.1086,0.0772,0.0746,0.0265,0.0081,0.0162,0.0622,0.0512,0.0483,0.077,0.1807,0.0323,0.0518,0.0544,0.0251,0.0303,0.0582,0.0333,0.3856,0.4025,0.3525,0.345,0.3825,0.4101,0.3914,0.0418,0.0229,0.052,0.1286,0.1257,0.0637,0.049,0.1506,0.1578,0.1659,-0.31,0.1086,0.0495,0.2457,0.0739,0.103,0.0665,0.0769,0.1141,0.1347,0.0419,0.0383
2021-12-31,-0.0109,-0.0867,-0.0685,0.3772,0.1757,0.1645,0.2958,0.2742,0.2918,0.3077,0.2122,0.2211,0.317,0.4255,0.4547,0.4326,0.2083,0.2604,0.2108,0.208,0.2743,0.2744,0.276,0.2495,0.2558,0.2528,0.2281,0.2244,0.247,0.3053,0.1868,0.1846,0.3045,0.305,0.5342,0.5328,0.5631,0.348,0.3522,0.2341,0.3057,0.3067,0.4213,0.4409,0.497,0.3492,0.3051,0.1866,0.2658,0.0045,0.0039,0.0055,0.2743,0.2681,0.2679,0.2237,0.2242,0.2249,0.2638,0.2554,0.2878,0.2681,0.281,0.2407,0.2568,0.2876,0.2632,0.2779,0.01,-0.001,-0.024,0.0232,-0.0289,-0.0186,0.2522,0.2472,0.2491,0.2487,-0.0177,-0.0105,0.0685,0.2873,0.2568,0.2741,0.1454,0.1479,0.2796,-0.0267,0.279,0.2584,0.2649,0.2879,0.3734,0.2626,-0.0619,-0.0975,-0.0223,-0.0972,0.0376,0.0516,0.0477,-0.0378,-0.023,0.0162,0.1696,0.174,0.177,-0.0077,0.3544,0.3474,0.3045,-0.0705,-0.0071,0.0021,0.2461,0.2472,0.2453,0.2476,-0.0186,-0.0111,0.0003,-0.019,-0.0333,-0.0254,-0.0166,-0.0168,-0.0925,-0.0056,0.0505,0.04,-0.0992,-0.0184,-0.0143,-0.0059,-0.0182,0.0078,-0.0119,-0.0966,-0.0841,0.0237,0.0554,0.0549,0.0025,0.0568,-0.0538,0.0267,-0.0232,-0.0004,-0.0064,-0.046,-0.0134,-0.0177,-0.0173,-0.0063,-0.0264,-0.0498,-0.006,-0.0128,0.0587,-0.0262,-0.0172,-0.0037,-0.001,-0.0003,0.022,0.0102,0.0067,-0.0255,-0.0499,-0.0072,0.0568,0.0564,0.0003,-0.0071,0.0506,0.0012,0.2433,0.2735,0.126,0.205,0.2743,0.2858,0.2811,0.0134,-0.043,0.0332,-0.0687,-0.0376,0.0157,0.0194,0.2384,0.2227,0.1827,0.4088,0.1764,0.0536,-0.0522,-0.0177,-0.0134,0.0561,-0.0124,0.058,-0.0199,-0.0146,-0.002
2022-12-31,-0.0549,-0.1972,-0.1056,-0.2168,-0.1755,-0.1981,-0.2986,-0.3258,-0.2103,-0.2429,0.6617,-0.3212,0.018,-0.2466,-0.2609,-0.2443,-0.0702,-0.0208,-0.0557,-0.0857,-0.118,-0.123,-0.2918,-0.0775,-0.0765,-0.0765,-0.1609,-0.1748,-0.1873,-0.1134,-0.1903,-0.1892,-0.0711,-0.072,0.6021,0.6432,0.6289,-0.1059,-0.1231,-0.0446,-0.1108,-0.1137,-0.3353,-0.3509,-0.2893,0.1313,-0.0719,-0.1839,-0.162,0.0128,0.0131,0.0074,-0.1841,-0.1606,-0.1626,-0.2132,-0.2126,-0.2114,-0.1957,-0.1928,-0.1809,-0.1941,-0.1229,-0.1948,-0.1947,-0.1816,-0.1919,-0.1989,-0.195,0.0138,-0.1321,-0.0251,-0.2695,-0.1311,-0.054,-0.0541,-0.0528,-0.0537,-0.1302,-0.0777,-0.1426,-0.1818,-0.1952,-0.1991,-0.2048,-0.2049,-0.1477,-0.2662,-0.1446,-0.1946,-0.1914,-0.1817,-0.2806,-0.225,-0.3915,-0.0925,-0.1863,-0.1046,-0.1098,-0.1554,-0.0542,-0.1559,-0.1385,-0.1215,0.0017,0.0106,0.0144,-0.1457,-0.3483,-0.2773,-0.297,-0.1095,-0.0608,-0.0933,-0.1317,-0.1311,-0.1328,-0.1313,-0.1083,-0.1339,0.0001,-0.0828,-0.1515,-0.0951,-0.14,-0.2538,-0.2207,-0.0563,-0.1597,-0.1219,-0.1074,-0.1792,-0.1174,-0.1258,-0.1121,-0.0827,-0.1495,-0.1184,-0.1944,-0.1317,-0.0973,-0.0458,-0.1017,-0.1226,-0.2524,-0.1304,-0.1514,0.0015,-0.0387,-0.3123,-0.153,-0.1398,-0.2551,-0.0562,-0.1053,-0.2934,-0.0386,-0.119,-0.1202,-0.1058,-0.1317,-0.0382,0.0094,-0.0101,-0.172,-0.0734,-0.0662,-0.1065,-0.2944,-0.0386,-0.0302,-0.0449,-0.0205,-0.0388,-0.0549,-0.045,-0.3175,-0.3316,-0.269,-0.2887,-0.2931,-0.3359,-0.318,-0.0775,-0.2447,-0.0877,-0.2264,-0.1998,-0.1886,-0.1135,-0.1793,-0.1797,-0.18,0.4851,-0.0179,-0.0294,-0.4128,-0.1304,-0.1568,-0.1057,-0.0965,-0.1284,-0.2568,-0.1205,-0.0331
