Subaccount Name,Management Fee,12b-1 Fees,Other Expenses,Total Annual Fund Operating Expenses,Waiver/Reimbursement,Total Expenses After Waiver/Reimbursement,Acquired Fund Fees and Expenses
JNL_American_Funds_Balanced,0.78,0.3,0.13,1.21,0.3,0.91,0.0
JNL_American_Funds_Bond_Fund_of_America,0.75,0.3,0.14,1.19,0.37,0.82,0.0
JNL_American_Funds_Capital_Income_Builder,0.88,0.3,0.16,1.34,0.39,0.95,0.0
JNL_American_Funds_Capital_World_Bond,1.03,0.3,0.14,1.47,0.43,1.04,0.0
JNL_American_Funds_Global_Growth,1.13,0.3,0.14,1.57,0.51,1.06,0.0
JNL_American_Funds_Global_Small_Capitalization,1.3,0.3,0.15,1.75,0.5,1.25,0.0
JNL_American_Funds_Growth,0.92,0.3,0.13,1.35,0.45,0.9,0.0
JNL_American_Funds_Growth_Income,0.79,0.3,0.12,1.21,0.3,0.91,0.0
JNL_American_Funds_International,1.21,0.3,0.16,1.67,0.5,1.17,0.0
JNL_American_Funds_New_World,1.52,0.3,0.16,1.98,0.72,1.26,0.0
JNL_American_Funds_Washington_Mutual_Investors,0.93,0.3,0.13,1.36,0.45,0.91,0.0
JNL_Multi_Manager_Alternative,1.17,0.3,0.69,2.19,0.0,2.19,0.03
JNL_Multi_Manager_Emerging_Markets_Equity,0.76,0.3,0.15,1.22,0.0,1.22,0.01
JNL_Multi_Manager_International_Small_Cap,0.75,0.3,0.16,1.21,0.0,1.21,0.0
JNL_Multi_Manager_Mid_Cap,0.62,0.3,0.15,1.08,0.0,1.08,0.01
JNL_Multi_Manager_Small_Cap_Growth,0.56,0.3,0.1,0.97,0.0,0.97,0.01
JNL_Multi_Manager_Small_Cap_Value,0.66,0.3,0.1,1.09,0.0,1.09,0.03
JNL_Multi_Manager_US_Select_Equity,0.53,0.3,0.18,1.03,0.0,1.03,0.02
JNL_iShares_Tactical_Moderate,0.2,0.3,0.15,0.79,0.0,0.79,0.14
JNL_iShares_Tactical_Moderate_Growth,0.2,0.3,0.15,0.81,0.0,0.81,0.16
JNL_iShares_Tactical_Growth,0.2,0.3,0.15,0.82,0.0,0.82,0.17
JNL_American_Funds_Moderate_Growth_Allocation,0.18,0.3,0.16,0.98,0.0,0.98,0.34
