Subaccount Name,Manager Tenure (Years)
JNL_American_Funds_Balanced,4.9
JNL_American_Funds_Bond_Fund_of_America,2.13
JNL_American_Funds_Capital_Income_Builder,3.08
JNL_American_Funds_Capital_World_Bond,2.18
JNL_American_Funds_Global_Growth,6.27
JNL_American_Funds_Global_Small_Capitalization,5.93
JNL_American_Funds_Growth,5.49
JNL_American_Funds_Growth_Income,7.81
JNL_American_Funds_International,8.13
JNL_American_Funds_New_World,4.05
JNL_American_Funds_Washington_Mutual_Investors,2.01
JNL_Multi_Manager_Alternative,6.4
JNL_Multi_Manager_Emerging_Markets_Equity,3.13
JNL_Multi_Manager_International_Small_Cap,3.54
JNL_Multi_Manager_Mid_Cap,4.61
JNL_Multi_Manager_Small_Cap_Growth,4.64
JNL_Multi_Manager_Small_Cap_Value,6.05
JNL_Multi_Manager_US_Select_Equity,0.54
JNL_iShares_Tactical_Moderate,4.29
JNL_iShares_Tactical_Moderate_Growth,4.29
JNL_iShares_Tactical_Growth,4.29
JNL_American_Funds_Moderate_Growth_Allocation,7.48
JNL_American_Funds_Growth_Allocation,7.48
JNL_AB_Sustainable_Global_Thematic,1.13
JNL_AQR_Large_Cap_Defensive_Style,2.67
JNL_Baillie_Gifford_International_Growth,2.13
JNL_Baillie_Gifford_US_Equity_Growth,2.13
JNL_BlackRock_Global_Allocation,5.63
JNL_BlackRock_Global_Natural_Resources,5.71
JNL_BlackRock_Large_Cap_Select_Growth,2.09
JNL_Causeway_International_Value_Select,6.63
JNL_ClearBridge_Large_Cap_Growth,5.71
JNL_DFA_International_Core_Equity,3.96
JNL_DFA_US_Core_Equity,4.46
JNL_DFA_US_Small_Cap,7.24
JNL_DoubleLine_Core_Fixed_Income,5.71
JNL_DoubleLine_Emerging_Markets_Fixed_Income,7.13
JNL_DoubleLine_Shiller_Enhanced_CAPE,7.71
JNL_DoubleLine_Total_Return,5.43
JNL_Fidelity_Institutional_Asset_Management_Total_Bond,3.41
JNL_First_Sentier_Global_Infrastructure,3.82
JNL_Franklin_Templeton_Income,8.35
JNL_Goldman_Sachs_4,1.33
JNL_GQG_Emerging_Markets_Equity,3.43
JNL_Harris_Oakmark_Global_Equity,3.59
JNL_Heitman_US_Focused_Real_Estate,2.13
JNL_Invesco_Diversified_Dividend,3.02
JNL_Invesco_Global_Growth,6.13
JNL_Invesco_Small_Cap_Growth,12.29
JNL_JPMorgan_Global_Allocation,2.88
JNL_JPMorgan_Hedged_Equity,4.79
JNL_JPMorgan_MidCap_Growth,8.07
JNL_JPMorgan_US_Government_&_Quality_Bond,12.88
JNL_JPMorgan_US_Value,3.13
JNL_Lazard_International_Strategic_Equity,7.92
JNL_Loomis_Sayles_Global_Growth,4.79
JNL_Lord_Abbett_Short_Duration_Income,2.27
JNL_Mellon_Emerging_Markets_Index,2.63
JNL_Mellon_S&P_500_Index,2.63
JNL_Mellon_S&P_400_MidCap_Index,2.63
JNL_Mellon_Small_Cap_Index,2.63
JNL_Mellon_International_Index,2.63
JNL_Mellon_Bond_Index,8.38
JNL_Mellon_US_Stock_Market_Index,2.13
JNL_Mellon_DowSM_Index,2.63
JNL_Mellon_World_Index,2.63
JNL_Mellon_Nasdaq_100_Index,2.63
JNL_Mellon_Communication_Services_Sector,2.63
JNL_Mellon_Consumer_Discretionary_Sector,2.63
JNL_Mellon_Consumer_Staples_Sector,2.63
JNL_Mellon_Energy_Sector,2.63
JNL_Mellon_Financial_Sector,2.63
JNL_Mellon_Healthcare_Sector,2.63
JNL_Mellon_Industrials_Sector,2.63
JNL_Mellon_Information_Technology_Sector,2.63
JNL_Mellon_Materials_Sector,2.63
JNL_Mellon_Real_Estate_Sector,2.63
JNL_S&P_500_Index,2.63
JNL_Mellon_Utilities_Sector,2.63
JNL_MFS_Mid_Cap_Value,4.74
JNL_Morningstar_PitchBook_Listed_Private_Equity_Index,2.13
JNL_Morningstar_US_Sustainability_Index,2.63
JNL_Morningstar_Wide_Moat_Index,2.63
JNL_Neuberger_Berman_Commodity_Strategy,6.1
JNL_Neuberger_Berman_Gold_Plus_Strategy,1.13
JNL_Neuberger_Berman_Strategic_Income,9.71
JNL_Newton_Equity_Income,11.21
JNL_PIMCO_Income,5.4
JNL_PIMCO_Investment_Grade_Credit_Bond,8.15
JNL_PIMCO_Real_Return,3.92
JNL_PPM_America_Floating_Rate_Income,2.63
JNL_PPM_America_High_Yield_Bond,4.71
JNL_PPM_America_Total_Return,7.75
JNL_RAFI_Fundamental_US_Small_Cap,2.63
JNL_RAFI_Multi_Factor_US_Equity,2.63
JNL_T_Rowe_Price_Balanced,4.79
JNL_T_Rowe_Price_Capital_Appreciation,9.71
JNL_T_Rowe_Price_Established_Growth,8.88
JNL_T_Rowe_Price_Mid_Cap_Growth,27.88
JNL_T_Rowe_Price_Short_Term_Bond,8.38
JNL_T_Rowe_Price_US_High_Yield,3.13
JNL_T_Rowe_Price_Value,0.38
JNL_Vanguard_Moderate_ETF_Allocation,3.49
JNL_Vanguard_Moderate_Growth_ETF_Allocation,3.49
JNL_Vanguard_Growth_ETF_Allocation,3.49
JNL_WCM_China_Quality_Growth,1.13
JNL_WCM_Focused_International_Equity,6.66
JNL_Westchester_Capital_Event_Driven,7.21
JNL_Western_Asset_Global_Multi_Sector_Bond,1.13
JNL_William_Blair_International_Leaders,1.13
JNL_WMC_Balanced,4.29
JNL_WMC_Equity_Income,2.13
JNL_WMC_Global_Real_Estate,2.13
JNL_WMC_Government_Money_Market,4.44
JNL_WMC_Value,3.0
JNL_Goldman_Sachs_Managed_Conservative,0.6
JNL_Goldman_Sachs_Managed_Moderate,0.6
JNL_Goldman_Sachs_Managed_Moderate_Growth,0.6
JNL_Goldman_Sachs_Managed_Growth,0.6
JNL_Goldman_Sachs_Managed_Aggressive_Growth,0.6
JNL_Conservative_Allocation,6.38
JNL_Moderate_Allocation,6.38
JNL_Moderate_Growth_Allocation,7.48
JNL_Growth_Allocation,7.48
JNL_Aggressive_Growth_Allocation,7.48
JNL_Bond_Index,4.04
JNL_Emerging_Markets_Index,2.13
JNL_International_Index,2.13
JNL_Mid_Cap_Index,2.13
JNL_Small_Cap_Index,2.13
