Subaccount Name,Portfolio Turnover%
JNL_American_Funds_Balanced,43.4
JNL_American_Funds_Bond_Fund_of_America,82.0
JNL_American_Funds_Capital_Income_Builder,60.8
JNL_American_Funds_Capital_World_Bond,90.8
JNL_American_Funds_Global_Growth,20.6
JNL_American_Funds_Global_Small_Capitalization,40.0
JNL_American_Funds_Growth,28.4
JNL_American_Funds_Growth_Income,29.6
JNL_American_Funds_International,37.4
JNL_American_Funds_New_World,49.8
JNL_American_Funds_Washington_Mutual_Investors,49.2
JNL_Mellon_Bond_Index,72.6
JNL_Mellon_Emerging_Markets_Index,12.4
JNL_Mellon_International_Index,3.4
JNL_Mellon_S&P_400_MidCap_Index,17.2
JNL_Mellon_Small_Cap_Index,26.4
JNL_Aggressive_Growth_Allocation,22.2
JNL_Conservative_Allocation,32.2
JNL_Growth_Allocation,21.0
JNL_Moderate_Allocation,21.6
JNL_Moderate_Growth_Allocation,21.2
JNL_American_Funds_Growth_Allocation,22.2
JNL_American_Funds_Moderate_Growth_Allocation,29.8
JNL_Goldman_Sachs_Managed_Aggressive_Growth,14.0
JNL_Goldman_Sachs_Managed_Conservative,19.4
JNL_Goldman_Sachs_Managed_Growth,15.4
JNL_Goldman_Sachs_Managed_Moderate,15.4
JNL_Goldman_Sachs_Managed_Moderate_Growth,15.0
JNL_iShares_Tactical_Growth,41.8
JNL_iShares_Tactical_Moderate,48.0
JNL_iShares_Tactical_Moderate_Growth,40.4
JNL_Vanguard_Growth_ETF_Allocation,11.6
JNL_Vanguard_Moderate_ETF_Allocation,20.4
JNL_Vanguard_Moderate_Growth_ETF_Allocation,13.6
JNL_Multi_Manager_Alternative,145.8
JNL_Multi_Manager_Emerging_Markets_Equity,47.4
JNL_Multi_Manager_International_Small_Cap,68.6
JNL_Multi_Manager_Mid_Cap,44.2
JNL_Multi_Manager_Small_Cap_Growth,76.8
JNL_Multi_Manager_Small_Cap_Value,54.6
JNL_Multi_Manager_US_Select_Equity,9.0
JNL_AB_Sustainable_Global_Thematic,28.0
JNL_AQR_Large_Cap_Defensive_Style,46.5
JNL_Baillie_Gifford_International_Growth,22.6
JNL_Baillie_Gifford_US_Equity_Growth,16.5
JNL_BlackRock_Global_Allocation,155.8
JNL_BlackRock_Global_Natural_Resources,76.0
JNL_BlackRock_Large_Cap_Select_Growth,47.8
JNL_Causeway_International_Value_Select,47.4
JNL_ClearBridge_Large_Cap_Growth,19.2
JNL_DFA_International_Core_Equity,41.25
JNL_DFA_US_Core_Equity,8.0
JNL_DFA_US_Small_Cap,30.0
JNL_DoubleLine_Core_Fixed_Income,110.6
JNL_DoubleLine_Emerging_Markets_Fixed_Income,43.0
JNL_DoubleLine_Shiller_Enhanced_CAPE,74.2
JNL_DoubleLine_Total_Return,52.6
JNL_Fidelity_Institutional_Asset_Management_Total_Bond,188.0
JNL_First_Sentier_Global_Infrastructure,76.6
JNL_Franklin_Templeton_Income,46.8
JNL_Goldman_Sachs_4,31.6
JNL_GQG_Emerging_Markets_Equity,107.0
JNL_Harris_Oakmark_Global_Equity,35.2
JNL_Heitman_US_Focused_Real_Estate,163.0
JNL_Invesco_Diversified_Dividend,24.6
JNL_Invesco_Global_Growth,11.8
JNL_Invesco_Small_Cap_Growth,38.8
JNL_JPMorgan_Global_Allocation,117.0
JNL_JPMorgan_Hedged_Equity,41.4
JNL_JPMorgan_MidCap_Growth,49.2
JNL_JPMorgan_US_Government_&_Quality_Bond,18.8
JNL_JPMorgan_US_Value,31.4
JNL_Lazard_International_Strategic_Equity,38.0
JNL_Loomis_Sayles_Global_Growth,18.2
JNL_Lord_Abbett_Short_Duration_Income,92.3333
JNL_Mellon_Communication_Services_Sector,42.0
JNL_Mellon_Consumer_Discretionary_Sector,17.8
JNL_Mellon_Consumer_Staples_Sector,31.4
JNL_Mellon_DowSM_Index,9.0
JNL_Mellon_Energy_Sector,17.2
JNL_Mellon_Financial_Sector,12.2
JNL_Mellon_Healthcare_Sector,7.4
JNL_Mellon_Industrials_Sector,56.4
JNL_Mellon_Information_Technology_Sector,15.2
JNL_Mellon_Materials_Sector,78.2
JNL_Mellon_Nasdaq_100_Index,10.4
JNL_Mellon_Real_Estate_Sector,39.0
JNL_Mellon_S&P_500_Index,4.2
JNL_Mellon_US_Stock_Market_Index,18.4
JNL_Mellon_Utilities_Sector,25.4
JNL_Mellon_World_Index,3.8
JNL_MFS_Mid_Cap_Value,28.0
JNL_Morningstar_PitchBook_Listed_Private_Equity_Index,61.5
JNL_Morningstar_US_Sustainability_Index,26.4
JNL_Morningstar_Wide_Moat_Index,63.4
JNL_Neuberger_Berman_Commodity_Strategy,75.2
JNL_Neuberger_Berman_Gold_Plus_Strategy,5.0
JNL_Neuberger_Berman_Strategic_Income,86.0
JNL_Newton_Equity_Income,75.0
JNL_PIMCO_Income,393.4
JNL_PIMCO_Investment_Grade_Credit_Bond,135.8
JNL_PIMCO_Real_Return,150.0
JNL_PPM_America_Floating_Rate_Income,61.0
JNL_PPM_America_High_Yield_Bond,63.0
JNL_PPM_America_Total_Return,84.0
JNL_RAFI_Fundamental_US_Small_Cap,71.8
JNL_RAFI_Multi_Factor_US_Equity,64.4
JNL_T_Rowe_Price_Balanced,146.2
JNL_T_Rowe_Price_Capital_Appreciation,67.2
JNL_T_Rowe_Price_Established_Growth,32.2
JNL_T_Rowe_Price_Mid_Cap_Growth,23.0
JNL_T_Rowe_Price_Short_Term_Bond,70.6
JNL_T_Rowe_Price_US_High_Yield,102.6
JNL_T_Rowe_Price_Value,136.4
JNL_WCM_China_Quality_Growth,28.0
JNL_WCM_Focused_International_Equity,27.0
JNL_Westchester_Capital_Event_Driven,301.4
JNL_Western_Asset_Global_Multi_Sector_Bond,47.4
JNL_William_Blair_International_Leaders,60.4
JNL_WMC_Balanced,75.8
JNL_WMC_Equity_Income,39.8
JNL_WMC_Global_Real_Estate,101.8
JNL_WMC_Government_Money_Market,0.0
JNL_WMC_Value,37.8
