Year,JNL_American_Funds_Balanced,JNL_American_Funds_Bond_Fund_of_America,JNL_American_Funds_Capital_Income_Builder,JNL_American_Funds_Capital_World_Bond,JNL_American_Funds_Global_Growth,JNL_American_Funds_Global_Small_Capitalization,JNL_American_Funds_Growth,JNL_American_Funds_Growth_Income,JNL_American_Funds_International,JNL_American_Funds_New_World,JNL_American_Funds_Washington_Mutual_Investors,JNL_Multi_Manager_Alternative,JNL_Multi_Manager_Emerging_Markets_Equity,JNL_Multi_Manager_International_Small_Cap,JNL_Multi_Manager_Mid_Cap,JNL_Multi_Manager_Small_Cap_Growth,JNL_Multi_Manager_Small_Cap_Value,JNL_iShares_Tactical_Moderate,JNL_iShares_Tactical_Moderate_Growth,JNL_iShares_Tactical_Growth,JNL_American_Funds_Moderate_Growth_Allocation,JNL_American_Funds_Growth_Allocation,JNL_AQR_Large_Cap_Defensive_Style,JNL_Baillie_Gifford_International_Growth,JNL_Baillie_Gifford_US_Equity_Growth,JNL_BlackRock_Global_Allocation,JNL_BlackRock_Global_Natural_Resources,JNL_BlackRock_Large_Cap_Select_Growth,JNL_Causeway_International_Value_Select,JNL_ClearBridge_Large_Cap_Growth,JNL_DFA_International_Core_Equity,JNL_DFA_US_Core_Equity,JNL_DFA_US_Small_Cap,JNL_DoubleLine_Core_Fixed_Income,JNL_DoubleLine_Emerging_Markets_Fixed_Income,JNL_DoubleLine_Shiller_Enhanced_CAPE,JNL_DoubleLine_Total_Return,JNL_Fidelity_Institutional_Asset_Management_Total_Bond,JNL_First_Sentier_Global_Infrastructure,JNL_Franklin_Templeton_Income,JNL_Goldman_Sachs_4,JNL_GQG_Emerging_Markets_Equity,JNL_Harris_Oakmark_Global_Equity,JNL_Heitman_US_Focused_Real_Estate,JNL_Invesco_Diversified_Dividend,JNL_Invesco_Global_Growth,JNL_Invesco_Small_Cap_Growth,JNL_JPMorgan_Global_Allocation,JNL_JPMorgan_Hedged_Equity,JNL_JPMorgan_MidCap_Growth,JNL_JPMorgan_US_Government_&_Quality_Bond,JNL_JPMorgan_US_Value,JNL_Lazard_International_Strategic_Equity,JNL_Loomis_Sayles_Global_Growth,JNL_Lord_Abbett_Short_Duration_Income,JNL_Mellon_Emerging_Markets_Index,JNL_Mellon_S&P_500_Index,JNL_Mellon_S&P_400_MidCap_Index,JNL_Mellon_Small_Cap_Index,JNL_Mellon_International_Index,JNL_Mellon_Bond_Index,JNL_Mellon_US_Stock_Market_Index,JNL_Mellon_DowSM_Index,JNL_Mellon_World_Index,JNL_Mellon_Nasdaq_100_Index,JNL_Mellon_Communication_Services_Sector,JNL_Mellon_Consumer_Discretionary_Sector,JNL_Mellon_Consumer_Staples_Sector,JNL_Mellon_Energy_Sector,JNL_Mellon_Financial_Sector,JNL_Mellon_Healthcare_Sector,JNL_Mellon_Industrials_Sector,JNL_Mellon_Information_Technology_Sector,JNL_Mellon_Materials_Sector,JNL_Mellon_Real_Estate_Sector,JNL_Mellon_Utilities_Sector,JNL_MFS_Mid_Cap_Value,JNL_Morningstar_PitchBook_Listed_Private_Equity_Index,JNL_Morningstar_US_Sustainability_Index,JNL_Morningstar_Wide_Moat_Index,JNL_Neuberger_Berman_Commodity_Strategy,JNL_Neuberger_Berman_Strategic_Income,JNL_Newton_Equity_Income,JNL_PIMCO_Income,JNL_PIMCO_Investment_Grade_Credit_Bond,JNL_PIMCO_Real_Return,JNL_PPM_America_Floating_Rate_Income,JNL_PPM_America_High_Yield_Bond,JNL_PPM_America_Total_Return,JNL_RAFI_Fundamental_US_Small_Cap,JNL_RAFI_Multi_Factor_US_Equity,JNL_T_Rowe_Price_Balanced,JNL_T_Rowe_Price_Capital_Appreciation,JNL_T_Rowe_Price_Established_Growth,JNL_T_Rowe_Price_Mid_Cap_Growth,JNL_T_Rowe_Price_Short_Term_Bond,JNL_T_Rowe_Price_US_High_Yield,JNL_T_Rowe_Price_Value,JNL_Vanguard_Moderate_ETF_Allocation,JNL_Vanguard_Moderate_Growth_ETF_Allocation,JNL_Vanguard_Growth_ETF_Allocation,JNL_WCM_Focused_International_Equity,JNL_Westchester_Capital_Event_Driven,JNL_Western_Asset_Global_Multi_Sector_Bond,JNL_William_Blair_International_Leaders,JNL_WMC_Balanced,JNL_WMC_Equity_Income,JNL_WMC_Global_Real_Estate,JNL_WMC_Government_Money_Market,JNL_WMC_Value,JNL_Goldman_Sachs_Managed_Conservative,JNL_Goldman_Sachs_Managed_Moderate,JNL_Goldman_Sachs_Managed_Moderate_Growth,JNL_Goldman_Sachs_Managed_Growth,JNL_Goldman_Sachs_Managed_Aggressive_Growth,JNL_Conservative_Allocation,JNL_Moderate_Allocation,JNL_Moderate_Growth_Allocation,JNL_Growth_Allocation,JNL_Aggressive_Growth_Allocation
2013,0.1555,,,-0.0295,,0.279,0.2945,0.3293,0.211,0.1088,0.3243,,-0.011,,,0.3047,0.3438,0.066,0.1371,0.1848,0.1526,0.2086,,,,0.1431,0.0951,0.3899,0.2147,,,0.3517,0.4364,-0.0208,,,,-0.0105,0.2343,0.1408,0.4363,,,,,0.2624,0.3969,,,0.4203,-0.0351,0.2829,,,,-0.0416,0.3164,0.3299,0.3844,0.2143,-0.0273,,0.3052,0.133,0.411,0.2102,0.4111,,0.2534,0.3335,0.4099,,0.2618,,,,0.3273,,,,,-0.001,0.3682,,-0.017,-0.0913,0.0441,0.082,0.002,0.3689,0.3168,,,0.3867,0.365,0.001,,0.3714,,,,,,0.0353,0.1898,0.1933,,0.0276,0.0,0.3105,0.0452,0.1043,0.1585,0.2258,0.2577,0.0085,0.1215,0.1711,0.2268,0.2406
2014,0.0054,,,0.0117,0.0206,0.018,0.0798,0.1019,-0.0304,-0.0821,0.1499,,-0.0526,,,0.028,0.0015,0.0403,0.0453,0.0456,0.0426,0.0407,,,,0.0185,-0.1425,0.0889,-0.1054,,,0.0982,0.0205,0.0398,,,0.0649,0.054,0.0735,0.0319,0.144,,,,,0.0191,0.0799,,,0.1119,0.054,0.073,-0.0142,,,-0.0369,0.1307,0.0923,0.0465,-0.0608,0.0561,,0.098,0.1086,0.1844,0.0552,0.1081,,-0.1036,0.1306,0.2514,,0.2061,,,0.262,0.1313,,,,,0.049,0.1107,,0.0761,0.0329,0.0012,0.0013,0.0606,0.035,0.1132,,0.1163,0.0871,0.1283,0.0043,,0.1324,,,,-0.0094,,-0.0045,0.0024,0.0986,,0.1503,0.0,0.1133,0.0312,0.0398,0.0451,0.0563,0.0658,0.0371,0.0371,0.0535,0.0506,0.0498
2015,-0.0152,,,-0.0424,0.0663,-0.0005,0.0644,0.0102,-0.0484,-0.0357,-0.0332,,-0.1869,,,-0.0468,-0.0944,0.0028,0.0015,0.0,-0.0015,0.0037,,,,-0.0134,-0.2375,0.0623,-0.0355,,,-0.021,-0.0484,0.0041,,,0.0169,0.0039,-0.1855,-0.0736,-0.0504,,,,,0.038,-0.0179,-0.0169,,0.0301,0.0046,-0.0467,0.0441,,,-0.1529,0.0087,-0.0269,-0.0456,-0.0109,-0.0012,,-0.0064,-0.0825,0.0143,0.0273,0.059,,-0.2326,-0.0112,0.0658,,0.0441,,,-0.0541,-0.0896,,,,-0.2506,-0.0114,-0.0172,,-0.0095,-0.031,-0.0128,-0.0705,-0.0111,-0.0505,-0.0302,-0.0459,0.046,0.107,0.0647,0.0032,,-0.0184,,,,0.0578,,-0.0415,-0.0203,-0.0093,,-0.0096,0.0,-0.0312,-0.0156,-0.0113,-0.0083,-0.002,-0.0023,-0.017,-0.0133,-0.0181,-0.02,-0.0263
2016,0.0573,,,0.0232,0.0034,0.0176,0.0903,0.1108,0.031,0.0492,0.1834,0.016,0.1928,,,0.0575,0.2378,0.0557,0.0704,0.0848,0.0734,0.0746,,,,0.0397,0.2652,0.0045,0.0001,,,0.1402,0.2675,0.0272,,0.189,0.0205,0.021,0.1258,0.1412,0.1029,,0.1245,,,0.001,0.1151,0.0395,,0.0052,0.0145,0.1568,-0.0513,,,0.1009,0.1137,0.2012,0.2587,0.008,0.0192,,0.1582,0.0695,0.0794,0.2355,0.0616,,0.2721,0.241,-0.0382,,0.133,,,0.1681,0.1358,,,,0.1181,0.0581,0.1855,,0.0634,0.0517,0.0942,0.1723,0.0568,0.344,0.1218,0.0311,0.0777,0.0143,0.0608,0.0143,,0.1084,,,,0.0012,0.0255,0.0382,-0.0119,0.1082,,0.0242,0.0,0.1342,0.0502,0.0555,0.0566,0.0591,0.06,0.0447,0.0521,0.0726,0.0753,0.0808
2017,0.1671,,,0.0656,0.3119,0.2552,0.2787,0.2188,0.3163,0.2889,0.1661,0.0639,0.286,,0.1604,0.2724,0.1106,0.1145,0.1572,0.1935,0.157,0.2061,,,,0.1383,-0.029,0.3358,0.2847,,,0.2023,0.1015,0.0539,0.073,0.2151,0.0416,0.0302,0.099,0.0993,0.1538,,0.2286,,,0.3615,0.2496,0.1589,,0.294,0.0251,0.0811,0.2819,,,0.3611,0.2116,0.1567,0.1283,0.2503,0.0302,,0.2764,0.2124,0.3209,0.0353,0.221,,-0.0298,0.1932,0.2263,,0.3631,,,0.1162,0.1302,,,,0.0647,0.0677,0.1566,,0.0697,0.0311,0.0292,0.0749,0.0427,-0.0221,0.1693,0.1545,0.148,0.3359,0.2447,0.0114,0.0473,0.187,,,,0.3165,0.0547,0.0357,0.232,0.1249,,0.1019,0.0013,0.152,0.0685,0.1117,0.1601,0.2105,0.2325,0.0792,0.105,0.1454,0.1864,0.214
2018,-0.0489,,,-0.0162,-0.0931,-0.1077,-0.0061,-0.0216,-0.1353,-0.1441,-0.09,-0.0383,-0.1835,,-0.057,-0.0205,-0.1477,-0.0535,-0.0728,-0.0912,-0.0457,-0.0539,,-0.1315,,-0.0762,-0.1727,0.0191,-0.1751,-0.0009,,-0.0775,-0.1368,-0.0045,-0.0281,-0.0451,0.0171,-0.0159,-0.064,-0.0422,-0.0627,-0.1494,-0.2122,,-0.0726,-0.1321,-0.0911,-0.0874,,-0.05,0.0045,-0.0903,-0.1012,,,-0.1524,-0.0488,-0.116,-0.0892,-0.1391,-0.0057,-0.0579,-0.0401,-0.0884,-0.0064,-0.0581,-0.0122,-0.0895,-0.204,-0.1387,0.0495,-0.1443,-0.0076,-0.1863,-0.0528,0.0379,-0.1168,,-0.043,,-0.1056,-0.0254,-0.0961,-0.0011,-0.0256,-0.0223,-0.0102,-0.053,-0.0123,-0.2296,-0.0973,-0.069,0.004,-0.014,-0.0245,0.011,-0.0209,-0.0958,-0.0459,-0.0646,-0.0791,-0.0785,0.0504,0.0065,-0.1508,-0.0341,-0.0647,-0.0638,0.0113,-0.103,-0.0231,-0.0343,-0.049,-0.0594,-0.0671,-0.0312,-0.0494,-0.0664,-0.0907,-0.1047
2019,0.2078,,0.1743,0.0751,0.3496,0.311,0.3032,0.2566,0.2245,0.2869,0.2096,0.0908,0.1785,0.3172,0.2877,0.3589,0.2526,0.1438,0.1806,0.2165,0.1865,0.2337,,0.3051,,0.1771,0.1479,0.323,0.1897,0.3167,,0.2955,0.2136,0.0781,0.1138,0.3366,0.0562,0.0923,0.2692,0.1598,0.2504,0.2109,0.2764,0.2526,0.2384,0.3128,0.2441,0.1778,0.1316,0.3992,0.0646,0.2297,0.2192,0.3075,,0.1789,0.3083,0.2559,0.2223,0.2121,0.0793,0.3013,0.2448,0.2727,0.3856,0.2642,0.2688,0.2609,0.0864,0.3108,0.2138,0.3001,0.4799,0.2278,0.2797,0.242,0.3088,,0.3071,0.3464,0.1209,0.0935,0.2862,0.0782,0.1447,0.0839,0.0821,0.1459,0.1006,0.1361,0.1954,0.2306,0.2406,0.3113,0.3148,0.0409,0.102,0.2611,0.1578,0.1938,0.2288,0.3548,0.1177,0.0105,0.2814,0.2146,0.2375,0.2252,0.0154,0.2751,0.1106,0.1483,0.1912,0.2441,0.2679,0.1246,0.1567,0.1953,0.2368,0.2605
2020,0.1206,,0.0398,0.0955,0.3009,0.2932,0.516,0.131,0.1356,0.2306,0.0842,0.0758,0.089,0.3218,0.1452,0.4643,0.0576,0.0868,0.1115,0.1228,0.1732,0.2004,0.1178,0.5666,,0.1894,0.0429,0.3843,0.0589,0.305,0.0696,0.1585,0.1318,0.0509,0.0304,0.1518,0.0266,0.0841,-0.0368,0.0087,0.0452,0.3312,0.1125,-0.0414,0.0061,0.2817,0.5651,0.117,0.138,0.4797,0.0695,-0.0378,0.1303,0.3485,,0.171,0.1778,0.1299,0.1081,0.077,0.0705,0.2018,0.0896,0.1561,0.4796,0.2526,0.4701,0.1043,-0.3373,-0.0272,0.1752,0.1356,0.4512,0.1884,-0.0532,-0.0105,0.0387,,0.2052,0.1417,-0.0363,0.0701,0.0245,0.0495,0.1052,0.1146,0.0046,0.0511,0.0985,0.0862,0.0995,0.1198,0.1748,0.3709,0.2355,0.0393,0.0345,0.1027,0.0965,0.1166,0.1365,0.3201,0.063,-0.067,0.1378,0.0833,0.0259,-0.1213,0.0021,0.0152,0.0879,0.1239,0.1555,0.1871,0.201,0.0751,0.112,0.1275,0.1534,0.1637
2021,0.1471,,0.1453,-0.0533,0.1608,0.0638,0.2161,0.2365,-0.0182,0.0446,0.2731,0.0278,0.0008,0.1562,0.2425,0.0292,0.2299,0.0764,0.1132,0.1504,0.0996,0.1364,0.2199,-0.0697,,0.073,0.3059,0.2045,0.085,0.2117,0.1133,0.2688,0.2746,-0.0043,0.0074,0.2401,-0.0043,-0.0069,0.1295,0.1475,0.3548,-0.023,0.1785,0.4413,0.1865,0.1537,0.0727,0.0889,0.1294,0.1103,-0.0214,0.2736,0.0642,0.0561,0.0033,-0.035,0.2809,0.2413,0.2612,0.1047,-0.0217,0.2535,0.2016,0.2117,0.267,0.1564,0.2254,0.1628,0.5469,0.2934,0.202,0.2092,0.3321,0.2839,0.3876,0.1677,0.3053,,0.3063,0.2389,0.2976,0.0265,0.3277,0.0199,-0.0162,0.054,0.0373,0.0575,-0.0115,0.3024,0.2639,0.1273,0.1789,0.1443,0.1291,-0.0038,0.0482,0.2955,0.0638,0.1036,0.1431,0.1708,0.0296,-0.0433,0.062,0.1868,0.2565,0.2667,0.0,0.2698,0.0372,0.0676,0.1084,0.1447,0.1632,0.0375,0.074,0.1026,0.1313,0.1542
2022,-0.1376,-0.1286,-0.0752,-0.179,-0.2505,-0.298,-0.3015,-0.1682,-0.2108,-0.2242,-0.089,-0.1041,-0.2413,-0.3044,-0.1644,-0.3108,-0.1216,-0.1315,-0.1436,-0.1535,-0.1724,-0.1931,-0.0857,-0.3723,-0.5574,-0.1548,0.1766,-0.3788,-0.0705,-0.3251,-0.1205,-0.156,-0.1375,-0.1328,-0.1505,-0.237,-0.1302,-0.1346,-0.0401,-0.0442,-0.1092,-0.219,-0.1599,-0.2574,-0.0197,-0.3223,-0.353,-0.1904,-0.0844,-0.2708,-0.1166,-0.0296,-0.1709,-0.2625,-0.0495,-0.1897,-0.1853,-0.1354,-0.1664,-0.142,-0.1354,-0.1992,-0.0746,-0.1805,-0.3282,-0.4133,-0.3594,-0.032,0.6135,-0.1289,-0.0578,-0.0871,-0.3199,-0.1192,-0.2609,0.008,-0.0901,-0.3447,-0.1999,-0.138,0.2155,-0.1082,0.038,-0.0809,-0.1658,-0.1179,-0.0465,-0.1172,-0.1408,-0.1402,-0.0802,-0.1764,-0.1195,-0.3883,-0.2207,-0.0465,-0.1481,-0.1151,-0.1404,-0.1542,-0.166,-0.2869,-0.0329,-0.0572,-0.251,-0.1395,0.005,-0.2758,0.0092,-0.0484,-0.1461,-0.1651,-0.1894,-0.2114,-0.2215,-0.1319,-0.147,-0.1577,-0.1864,-0.1981
