Year,JNL_American_Funds_Balanced,JNL_American_Funds_Bond_Fund_of_America,JNL_American_Funds_Capital_Income_Builder,JNL_American_Funds_Capital_World_Bond,JNL_American_Funds_Global_Growth,JNL_American_Funds_Global_Small_Capitalization,JNL_American_Funds_Growth,JNL_American_Funds_Growth_Income,JNL_American_Funds_International,JNL_American_Funds_New_World,JNL_American_Funds_Washington_Mutual_Investors,JNL_Multi_Manager_Alternative,JNL_Multi_Manager_Emerging_Markets_Equity,JNL_Multi_Manager_International_Small_Cap,JNL_Multi_Manager_Mid_Cap,JNL_Multi_Manager_Small_Cap_Growth,JNL_Multi_Manager_Small_Cap_Value,JNL_iShares_Tactical_Moderate,JNL_iShares_Tactical_Moderate_Growth,JNL_iShares_Tactical_Growth,JNL_American_Funds_Moderate_Growth_Allocation,JNL_American_Funds_Growth_Allocation,JNL_AQR_Large_Cap_Defensive_Style,JNL_Baillie_Gifford_International_Growth,JNL_Baillie_Gifford_US_Equity_Growth,JNL_BlackRock_Global_Allocation,JNL_BlackRock_Global_Natural_Resources,JNL_BlackRock_Large_Cap_Select_Growth,JNL_Causeway_International_Value_Select,JNL_ClearBridge_Large_Cap_Growth,JNL_DFA_International_Core_Equity,JNL_DFA_US_Core_Equity,JNL_DFA_US_Small_Cap,JNL_DoubleLine_Core_Fixed_Income,JNL_DoubleLine_Emerging_Markets_Fixed_Income,JNL_DoubleLine_Shiller_Enhanced_CAPE,JNL_DoubleLine_Total_Return,JNL_Fidelity_Institutional_Asset_Management_Total_Bond,JNL_First_Sentier_Global_Infrastructure,JNL_Franklin_Templeton_Income,JNL_Goldman_Sachs_4,JNL_GQG_Emerging_Markets_Equity,JNL_Harris_Oakmark_Global_Equity,JNL_Heitman_US_Focused_Real_Estate,JNL_Invesco_Diversified_Dividend,JNL_Invesco_Global_Growth,JNL_Invesco_Small_Cap_Growth,JNL_JPMorgan_Global_Allocation,JNL_JPMorgan_Hedged_Equity,JNL_JPMorgan_MidCap_Growth,JNL_JPMorgan_US_Government_&_Quality_Bond,JNL_JPMorgan_US_Value,JNL_Lazard_International_Strategic_Equity,JNL_Loomis_Sayles_Global_Growth,JNL_Lord_Abbett_Short_Duration_Income,JNL_Mellon_Emerging_Markets_Index,JNL_Mellon_S&P_500_Index,JNL_Mellon_S&P_400_MidCap_Index,JNL_Mellon_Small_Cap_Index,JNL_Mellon_International_Index,JNL_Mellon_Bond_Index,JNL_Mellon_US_Stock_Market_Index,JNL_Mellon_DowSM_Index,JNL_Mellon_World_Index,JNL_Mellon_Nasdaq_100_Index,JNL_Mellon_Communication_Services_Sector,JNL_Mellon_Consumer_Discretionary_Sector,JNL_Mellon_Consumer_Staples_Sector,JNL_Mellon_Energy_Sector,JNL_Mellon_Financial_Sector,JNL_Mellon_Healthcare_Sector,JNL_Mellon_Industrials_Sector,JNL_Mellon_Information_Technology_Sector,JNL_Mellon_Materials_Sector,JNL_Mellon_Real_Estate_Sector,JNL_S&P_500_Index,JNL_Mellon_Utilities_Sector,JNL_MFS_Mid_Cap_Value,JNL_Morningstar_PitchBook_Listed_Private_Equity_Index,JNL_Morningstar_US_Sustainability_Index,JNL_Morningstar_Wide_Moat_Index,JNL_Neuberger_Berman_Commodity_Strategy,JNL_Neuberger_Berman_Strategic_Income,JNL_Newton_Equity_Income,JNL_PIMCO_Income,JNL_PIMCO_Investment_Grade_Credit_Bond,JNL_PIMCO_Real_Return,JNL_PPM_America_Floating_Rate_Income,JNL_PPM_America_High_Yield_Bond,JNL_PPM_America_Total_Return,JNL_RAFI_Fundamental_US_Small_Cap,JNL_RAFI_Multi_Factor_US_Equity,JNL_T_Rowe_Price_Balanced,JNL_T_Rowe_Price_Capital_Appreciation,JNL_T_Rowe_Price_Established_Growth,JNL_T_Rowe_Price_Mid_Cap_Growth,JNL_T_Rowe_Price_Short_Term_Bond,JNL_T_Rowe_Price_US_High_Yield,JNL_T_Rowe_Price_Value,JNL_Vanguard_Moderate_ETF_Allocation,JNL_Vanguard_Moderate_Growth_ETF_Allocation,JNL_Vanguard_Growth_ETF_Allocation,JNL_WCM_Focused_International_Equity,JNL_Westchester_Capital_Event_Driven,JNL_Western_Asset_Global_Multi_Sector_Bond,JNL_William_Blair_International_Leaders,JNL_WMC_Balanced,JNL_WMC_Equity_Income,JNL_WMC_Global_Real_Estate,JNL_WMC_Government_Money_Market,JNL_WMC_Value,JNL_Goldman_Sachs_Managed_Conservative,JNL_Goldman_Sachs_Managed_Moderate,JNL_Goldman_Sachs_Managed_Moderate_Growth,JNL_Goldman_Sachs_Managed_Growth,JNL_Goldman_Sachs_Managed_Aggressive_Growth,JNL_Conservative_Allocation,JNL_Moderate_Allocation,JNL_Moderate_Growth_Allocation,JNL_Growth_Allocation,JNL_Aggressive_Growth_Allocation,JNL_Bond_Index,JNL_Emerging_Markets_Index,JNL_International_Index,JNL_Mid_Cap_Index,JNL_Small_Cap_Index
2013,0.1575,,,-0.0272,,0.2803,,0.3311,0.2124,0.1109,0.3251,,-0.0083,,,0.3069,0.3467,,,,,,,,,0.1443,0.0983,0.393,0.2166,,,0.3543,,-0.0192,,,,-0.0093,0.2362,0.1427,,,,,,0.2652,0.3988,,,0.4231,-0.0333,0.2847,,,,-0.0389,0.3189,0.3319,0.3864,0.2164,-0.026,,,,0.4144,0.2134,0.4138,,0.2562,0.3352,0.412,,0.2646,,,,,0.329,,,,,0.001,,,,-0.0888,,0.0852,,0.3717,0.3196,,,0.3897,0.3672,0.0028,,0.3742,,,,,,0.0375,0.1913,0.1962,,0.0297,0.0,0.3127,,,,,,,,,,,,,,,
2014,0.0071,,,0.014,,0.0205,,0.1041,-0.028,-0.0801,0.1527,,-0.0502,,,0.0304,0.0036,,,,,,,,,0.0213,-0.1413,0.0911,-0.1028,,,0.1002,,0.0427,,,,0.0559,0.0753,0.0337,,,,,,0.0208,0.0821,,,0.114,0.0561,0.0749,,,,-0.0354,0.133,0.095,0.0485,-0.0582,0.0575,,,,0.1867,0.0574,0.11,,-0.1018,0.1332,0.2539,,0.2079,,,,,0.1333,,,,,0.0514,,,,0.0352,,0.0044,,0.0379,0.1159,,,0.0895,0.1307,0.0073,,0.1341,,,,,,-0.0024,0.0049,0.1011,,0.1534,0.0,0.1158,,,,,,,,,,,,,,,
2015,-0.0128,,,-0.0412,,0.0018,,0.013,-0.0474,-0.0333,-0.0311,,-0.1859,,,-0.0447,-0.0926,,,,,,,,,-0.0116,-0.2355,0.0645,-0.0331,,,-0.0192,,0.0056,,,,0.0062,-0.1834,-0.0708,,,,,,0.0397,-0.016,,,0.0322,0.0067,-0.0443,,,,-0.1518,0.0086,-0.0277,-0.0439,-0.01,0.0015,,,,0.0165,0.0292,0.0614,,-0.2311,-0.0088,0.0682,,0.0475,,,,,-0.0871,,,,,-0.0081,,,,-0.0303,,-0.0692,,-0.0481,-0.0288,,,0.1092,0.0667,0.0041,,-0.0165,,,,,,-0.0402,-0.0181,-0.0075,,-0.0076,0.0,-0.0294,,,,,,,,,,,,,,,
2016,0.0587,,,0.0261,,0.0197,,0.1125,0.0334,0.0509,0.186,,0.195,,,0.0595,0.2402,,,,,,,,,0.0414,0.2682,0.0064,0.0012,,,0.1431,,0.0296,,,,0.0233,0.1272,0.1423,,,,,,0.004,0.1174,,,0.0071,0.0162,0.1578,,,,0.1025,0.1156,0.2034,0.2613,0.0094,0.021,,,,0.0818,0.2369,0.0634,,0.2747,0.2432,-0.0367,,0.1344,,,,,0.1374,,,,,0.0593,,,,0.0556,,0.1734,,0.3442,0.124,,,0.0162,0.063,0.0173,,0.1104,,,,,,0.0405,-0.0106,0.1103,,0.0261,0.0,0.1366,,,,,,,,,,,,,,,
2017,0.1703,,,0.0681,,0.2578,,0.2219,0.3194,0.2923,0.1688,,0.2894,,,0.2751,0.1126,,,,,,,,,0.1413,-0.0267,0.3391,0.2884,,,0.2054,,0.0554,,,,0.0327,0.1019,0.102,,,,,,0.3639,0.252,,,0.297,0.027,0.0841,,,,0.3659,0.2149,0.1588,0.1308,0.2545,0.0328,,,,0.3242,0.0377,0.2244,,-0.0273,0.196,0.2291,,0.3662,,,,,0.1333,,,,,0.0703,,,,0.0318,,0.0779,,-0.0188,0.1724,,,0.339,0.2475,0.0135,,0.19,,,,,,0.0385,0.2347,0.1275,,0.1046,0.0038,0.1549,,,,,,,,,,,,,,,
2018,-0.0456,,,-0.0139,-0.0903,-0.1048,-0.0033,-0.0187,-0.1322,-0.141,-0.0872,-0.0355,-0.1813,,-0.0545,-0.0177,-0.1453,-0.0505,-0.0691,-0.0885,-0.0429,-0.0508,,-0.1286,,-0.0733,-0.1711,0.0219,-0.1726,0.0018,,-0.0746,-0.1337,-0.0017,-0.0251,-0.0423,0.0211,-0.0129,-0.061,-0.0395,-0.0597,-0.1464,-0.2097,,-0.0696,-0.1297,-0.0883,-0.0834,,-0.0471,0.0077,-0.0876,-0.0984,,,-0.15,-0.0461,-0.1127,-0.0866,-0.1366,-0.0028,-0.0541,-0.0368,-0.0852,-0.0027,-0.0547,-0.0091,-0.0866,-0.2013,-0.1357,0.0529,-0.1406,-0.0038,-0.1835,-0.0537,-0.0466,0.0403,-0.1146,,-0.0412,,-0.1022,-0.0212,-0.0927,0.002,-0.0226,-0.0195,-0.0082,-0.0506,-0.0097,-0.2273,-0.0946,-0.0672,0.0067,-0.0113,-0.0215,0.0141,-0.0184,-0.093,-0.041,-0.0607,-0.0752,-0.0757,0.0531,0.0093,-0.1478,-0.0315,-0.0617,-0.0617,0.0164,-0.1002,-0.0231,-0.0317,-0.0467,-0.0562,-0.0643,-0.0287,-0.0471,-0.0634,-0.0884,-0.1015,,,,,
2019,0.2109,,0.1782,0.0782,0.3539,0.3144,0.3075,0.2603,0.2281,0.29,0.2136,0.0947,0.1817,0.3206,0.291,0.3632,0.2568,0.1474,0.1845,0.2202,0.1899,0.2371,,0.3085,,0.1808,0.1508,0.3273,0.193,0.3192,,0.2999,0.218,0.0823,0.1167,0.3408,0.0591,0.0956,0.2724,0.1635,0.2542,0.2138,0.2793,0.2567,0.2428,0.3173,0.2482,0.1801,0.1359,0.4034,0.0681,0.2343,0.2224,0.3118,,0.182,0.3126,0.2588,0.2258,0.2157,0.0837,0.3047,0.2493,0.2777,0.3901,0.2691,0.2729,0.2639,0.0903,0.3149,0.2183,0.3043,0.4849,0.2317,0.2838,0.3125,0.2469,0.3136,,0.3125,0.3511,0.1248,0.096,0.2896,0.0813,0.1475,0.0871,0.086,0.1492,0.1035,0.1403,0.1976,0.2342,0.2444,0.3154,0.3184,0.0436,0.1049,0.2653,0.1619,0.2,0.2335,0.3582,0.1216,0.0139,0.2852,0.2184,0.2403,0.2295,0.02,0.2786,0.1135,0.1525,0.1953,0.2476,0.2716,0.1276,0.1602,0.1984,0.2399,0.2637,,,,,
2020,0.1238,,0.0423,0.0988,0.3041,0.2978,0.5203,0.1346,0.1393,0.2344,0.0872,0.0791,0.0921,0.3268,0.1496,0.4687,0.0609,0.0898,0.1142,0.126,0.1767,0.2042,0.1214,0.5717,,0.1923,0.0461,0.3885,0.0623,0.3096,0.0735,0.163,0.1354,0.0534,0.0334,0.1553,0.0301,0.0866,-0.034,0.0115,0.0486,0.3355,0.1168,-0.0389,0.0086,0.2851,0.5698,0.1205,0.1408,0.4843,0.0722,-0.0357,0.134,0.353,,0.1755,0.1811,0.1334,0.1116,0.0802,0.0726,0.2063,0.0933,0.1602,0.4844,0.2572,0.4756,0.1085,-0.3348,-0.0237,0.1792,0.1388,0.4561,0.1937,-0.0498,0.1815,-0.0068,0.0413,,0.2092,0.1447,-0.0362,0.0731,0.0276,0.053,0.1091,0.1178,0.0073,0.0545,0.1024,0.0902,0.1028,0.1226,0.1785,0.375,0.2393,0.0427,0.0384,0.1059,0.1008,0.1205,0.141,0.3241,0.0659,-0.064,0.1415,0.0865,0.0297,-0.119,0.0031,0.0184,0.091,0.1271,0.1589,0.1904,0.2045,0.0785,0.1161,0.1318,0.157,0.1673,,,,,
2021,0.1508,,0.1494,-0.0501,0.1646,0.0671,0.2197,0.2401,-0.0156,0.0478,0.277,0.031,0.004,0.1596,0.2456,0.0322,0.2335,0.0801,0.1163,0.1543,0.1026,0.1397,0.224,-0.0669,,0.0763,0.3086,0.208,0.0876,0.2157,0.1163,0.2733,0.2801,-0.0013,0.0099,0.2439,-0.0017,-0.0038,0.1332,0.1519,0.3588,-0.02,0.1814,0.4465,0.1908,0.1573,0.0757,0.0925,0.1326,0.1135,-0.0183,0.2776,0.0672,0.0582,0.0068,-0.0317,0.2845,0.2454,0.2647,0.1079,-0.0179,0.2563,0.2059,0.2159,0.2716,0.1598,0.2296,0.167,0.5518,0.2978,0.2061,0.2137,0.3369,0.2878,0.3926,0.2853,0.1711,0.3093,,0.3109,0.2431,0.3023,0.0304,0.3318,0.0234,-0.014,0.0582,0.0406,0.061,-0.0086,0.3078,0.2676,0.1307,0.1819,0.1478,0.1324,-0.0009,0.051,0.2993,0.0693,0.1091,0.1484,0.1744,0.0331,-0.0403,0.0648,0.1904,0.26,0.2712,0.0004,0.2736,0.0414,0.0705,0.1117,0.1482,0.167,0.0407,0.0775,0.1056,0.1351,0.1573,,,,,
2022,-0.1346,-0.1254,-0.0729,-0.1767,-0.2482,-0.2959,-0.2995,-0.1657,-0.2087,-0.222,-0.0864,-0.102,-0.2393,-0.3027,-0.1618,-0.3088,-0.1193,-0.1288,-0.1409,-0.1512,-0.1698,-0.1905,-0.083,-0.3706,-0.5562,-0.1527,0.1817,-0.3769,-0.0674,-0.3233,-0.1166,-0.153,-0.1348,-0.1302,-0.1478,-0.2349,-0.1275,-0.1321,-0.0373,-0.0423,-0.107,-0.2169,-0.1579,-0.2555,-0.0172,-0.3202,-0.3512,-0.1883,-0.0812,-0.2687,-0.1138,-0.0264,-0.1685,-0.2597,-0.0473,-0.1863,-0.1828,-0.1327,-0.1638,-0.1391,-0.1326,-0.1965,-0.0715,-0.1776,-0.3257,-0.4113,-0.3572,-0.0284,0.6188,-0.1256,-0.0543,-0.0835,-0.3176,-0.1157,-0.2582,-0.1818,0.0122,-0.0876,-0.343,-0.1971,-0.1352,0.2199,-0.1059,0.0411,-0.0781,-0.1623,-0.1155,-0.0434,-0.1144,-0.1377,-0.137,-0.0775,-0.1742,-0.1165,-0.3863,-0.2183,-0.0429,-0.1456,-0.1127,-0.137,-0.1513,-0.1623,-0.285,-0.0304,-0.055,-0.2482,-0.1369,0.0081,-0.2738,0.0127,-0.0456,-0.1439,-0.1626,-0.187,-0.2091,-0.2195,-0.1289,-0.1445,-0.1552,-0.184,-0.1961,-0.1311,-0.1848,-0.1375,-0.1312,-0.1624
