Subaccount Name,Total Net Assets ($mil),Weighting%
JNL_T_Rowe_Price_Capital_Appreciation,11661.2,0.0525
JNL_Mellon_S&P_500_Index,11247.66,0.0506
JNL_American_Funds_Growth_Income,8895.36,0.04
JNL_WMC_Balanced,8689.07,0.0391
JNL_T_Rowe_Price_Established_Growth,8256.03,0.0371
JNL_Mellon_Nasdaq_100_Index,5403.1,0.0243
JNL_T_Rowe_Price_Mid_Cap_Growth,4993.59,0.0225
JNL_Goldman_Sachs_4,4865.34,0.0219
JNL_Mellon_US_Stock_Market_Index,4605.32,0.0207
JNL_T_Rowe_Price_Value,4295.56,0.0193
JNL_Mellon_Information_Technology_Sector,4223.01,0.019
JNL_Goldman_Sachs_Managed_Growth,4174.64,0.0188
JNL_Goldman_Sachs_Managed_Moderate_Growth,4081.37,0.0184
JNL_American_Funds_Growth,3870.96,0.0174
JNL_Moderate_Growth_Allocation,3787.0,0.017
JNL_BlackRock_Large_Cap_Select_Growth,3651.29,0.0164
JNL_Mellon_Healthcare_Sector,3498.05,0.0157
JNL_American_Funds_Growth_Allocation,3418.61,0.0154
JNL_American_Funds_Washington_Mutual_Investors,3412.87,0.0154
JNL_WMC_Government_Money_Market,3199.73,0.0144
JNL_Mellon_S&P_400_MidCap_Index,3002.55,0.0135
JNL_Growth_Allocation,2928.22,0.0132
JNL_BlackRock_Global_Allocation,2873.65,0.0129
JNL_DoubleLine_Core_Fixed_Income,2835.46,0.0128
JNL_JPMorgan_MidCap_Growth,2783.24,0.0125
JNL_American_Funds_Balanced,2571.91,0.0116
JNL_American_Funds_Moderate_Growth_Allocation,2448.6,0.011
JNL_Mellon_International_Index,2243.63,0.0101
JNL_Mellon_Small_Cap_Index,2217.68,0.01
JNL_Mellon_Energy_Sector,2202.19,0.0099
JNL_Moderate_Allocation,2128.58,0.0096
JNL_Multi_Manager_Small_Cap_Growth,2104.3,0.0095
JNL_DoubleLine_Total_Return,2096.86,0.0094
JNL_RAFI_Multi_Factor_US_Equity,2064.13,0.0093
JNL_Goldman_Sachs_Managed_Aggressive_Growth,2041.07,0.0092
JNL_Goldman_Sachs_Managed_Moderate,1969.38,0.0089
JNL_Vanguard_Growth_ETF_Allocation,1962.44,0.0088
JNL_MFS_Mid_Cap_Value,1866.61,0.0084
JNL_DoubleLine_Shiller_Enhanced_CAPE,1808.31,0.0081
JNL_Newton_Equity_Income,1792.73,0.0081
JNL_JPMorgan_US_Government_&_Quality_Bond,1663.58,0.0075
JNL_Causeway_International_Value_Select,1651.34,0.0074
JNL_Franklin_Templeton_Income,1589.07,0.0072
JNL_Invesco_Small_Cap_Growth,1579.85,0.0071
JNL_T_Rowe_Price_Short_Term_Bond,1575.05,0.0071
JNL_JPMorgan_US_Value,1571.29,0.0071
JNL_PIMCO_Real_Return,1542.3,0.0069
JNL_Fidelity_Institutional_Asset_Management_Total_Bond,1533.58,0.0069
JNL_Multi_Manager_Small_Cap_Value,1531.51,0.0069
JNL_Invesco_Global_Growth,1529.28,0.0069
JNL_PPM_America_Total_Return,1503.22,0.0068
JNL_American_Funds_International,1446.47,0.0065
JNL_Multi_Manager_Mid_Cap,1441.62,0.0065
JNL_WCM_Focused_International_Equity,1440.29,0.0065
